regionId,regionName,areaId,areaName,ownerId,ownerName
R3,"Region 3 — White Harbor",R3:A6,"Green Moor",,""
R3,"Region 3 — White Harbor",R3:A7,"Storm Hold",,""
R3,"Region 3 — White Harbor",R3:A8,"River Watch",,""
R3,"Region 3 — White Harbor",R3:A9,"Red Harbor Market",,""
R3,"Region 3 — White Harbor",R3:A10,"River Heights",,""
R3,"Region 3 — White Harbor",R3:A11,"Bright Wood Borough",,""
R3,"Region 3 — White Harbor",R3:A12,"Bright Ridge Village",,""
R3,"Region 3 — White Harbor",R3:A13,"Iron Field",,""
R3,"Region 3 — White Harbor",R3:A14,"Blue Heath",,""
R3,"Region 3 — White Harbor",R3:A15,"Crystal Wood",,""
R4,"Region 4 — Silver Hold Point",R4:A1,"Silver Hold Point",,""
R4,"Region 4 — Silver Hold Point",R4:A2,"Stone Heath",,""
R4,"Region 4 — Silver Hold Point",R4:A3,"Silver Watch",,""
R4,"Region 4 — Silver Hold Point",R4:A4,"Blue Field",,""
R4,"Region 4 — Silver Hold Point",R4:A5,"White Pass",,""
R4,"Region 4 — Silver Hold Point",R4:A6,"Wind Vale",,""
R4,"Region 4 — Silver Hold Point",R4:A7,"Star Ford",,""
R4,"Region 4 — Silver Hold Point",R4:A8,"Red Ridge",,""
R4,"Region 4 — Silver Hold Point",R4:A9,"Silver Wood Village",,""
R4,"Region 4 — Silver Hold Point",R4:A10,"Star Harbor",,""
R4,"Region 4 — Silver Hold Point",R4:A11,"Star Wood",,""
R4,"Region 4 — Silver Hold Point",R4:A12,"Raven Pass",,""
R4,"Region 4 — Silver Hold Point",R4:A13,"River Cliff",,""
R5,"Region 5 — Birch Cross Hold",R5:A1,"Birch Cross Hold",,""
R5,"Region 5 — Birch Cross Hold",R5:A2,"Birch Cross",,""
R5,"Region 5 — Birch Cross Hold",R5:A3,"Wind Pass",,""
R5,"Region 5 — Birch Cross Hold",R5:A4,"Stone Glen",,""
R5,"Region 5 — Birch Cross Hold",R5:A5,"Stone Heath Market",,""
R5,"Region 5 — Birch Cross Hold",R5:A6,"White Glen Town",,""
R5,"Region 5 — Birch Cross Hold",R5:A7,"White Moor",,""
R5,"Region 5 — Birch Cross Hold",R5:A8,"Wind Ridge",,""
R5,"Region 5 — Birch Cross Hold",R5:A9,"Sun Heights",,""
R5,"Region 5 — Birch Cross Hold",R5:A10,"Sun Wood",,""
R5,"Region 5 — Birch Cross Hold",R5:A11,"Blue Field Market",,""
R5,"Region 5 — Birch Cross Hold",R5:A12,"Raven Brook Town",,""
R6,"Region 6 — Bright Harbor",R6:A1,"Bright Harbor",,""
R6,"Region 6 — Bright Harbor",R6:A2,"Oak Hold Landing",,""
R6,"Region 6 — Bright Harbor",R6:A3,"Storm Hollow",,""
R6,"Region 6 — Bright Harbor",R6:A4,"Bright Field",,""
R6,"Region 6 — Bright Harbor",R6:A5,"Moon Heath",,""
R6,"Region 6 — Bright Harbor",R6:A6,"Silver Moor Market",,""
R6,"Region 6 — Bright Harbor",R6:A7,"Blue Watch Village",,""
R6,"Region 6 — Bright Harbor",R6:A8,"Red Ford Port",,""
R6,"Region 6 — Bright Harbor",R6:A9,"Red Pass",,""
R6,"Region 6 — Bright Harbor",R6:A10,"Silver Watch",,""
R6,"Region 6 — Bright Harbor",R6:A11,"White Cliff",,""
R6,"Region 6 — Bright Harbor",R6:A12,"Wind Forge",,""
R6,"Region 6 — Bright Harbor",R6:A13,"Silver Ford",,""
R7,"Region 7 — Iron Forge",R7:A1,"Iron Forge",,""
R7,"Region 7 — Iron Forge",R7:A2,"Raven Forge",,""
R7,"Region 7 — Iron Forge",R7:A3,"Blue Hollow",,""
R7,"Region 7 — Iron Forge",R7:A4,"Storm Vale",,""
R7,"Region 7 — Iron Forge",R7:A5,"Bright Glen",,""
R7,"Region 7 — Iron Forge",R7:A6,"Sun Cliff Town",,""
R7,"Region 7 — Iron Forge",R7:A7,"Blue Ford",,""
R7,"Region 7 — Iron Forge",R7:A8,"Bright Ford Borough",,""
R7,"Region 7 — Iron Forge",R7:A9,"Crystal Ridge",,""
R7,"Region 7 — Iron Forge",R7:A10,"Stone Forge Market",,""
R7,"Region 7 — Iron Forge",R7:A11,"Golden Moor",,""
R7,"Region 7 — Iron Forge",R7:A12,"Raven Hollow Borough",,""
R7,"Region 7 — Iron Forge",R7:A13,"Red Ford",,""
R8,"Region 8 — Blue Glen Hold",R8:A1,"Blue Glen Hold",,""
R8,"Region 8 — Blue Glen Hold",R8:A2,"Bright Gate",,""
R8,"Region 8 — Blue Glen Hold",R8:A3,"Shadow Wood",,""
R8,"Region 8 — Blue Glen Hold",R8:A4,"Bright Wood",,""
R8,"Region 8 — Blue Glen Hold",R8:A5,"Blue Forge",,""
R8,"Region 8 — Blue Glen Hold",R8:A6,"Moon Watch",,""
R8,"Region 8 — Blue Glen Hold",R8:A7,"Wind Hold",,""
R8,"Region 8 — Blue Glen Hold",R8:A8,"White Wood",,""
R8,"Region 8 — Blue Glen Hold",R8:A9,"White Heights",,""
R8,"Region 8 — Blue Glen Hold",R8:A10,"Wind Gate",,""
R8,"Region 8 — Blue Glen Hold",R8:A11,"Golden Pass",,""
R8,"Region 8 — Blue Glen Hold",R8:A12,"Star Heath",,""
R8,"Region 8 — Blue Glen Hold",R8:A13,"Oak Field",,""
R8,"Region 8 — Blue Glen Hold",R8:A14,"Blue Ridge",,""
R8,"Region 8 — Blue Glen Hold",R8:A15,"Green Moor",,""
R9,"Region 9 — Storm Ford",R9:A1,"Storm Ford",,""
R9,"Region 9 — Storm Ford",R9:A2,"Star Heights Port",,""
R9,"Region 9 — Storm Ford",R9:A3,"Golden Field",,""
R9,"Region 9 — Storm Ford",R9:A4,"Crystal Hold",,""
R9,"Region 9 — Storm Ford",R9:A5,"Raven Heath",,""
R9,"Region 9 — Storm Ford",R9:A6,"Crystal Brook Hold",,""
R9,"Region 9 — Storm Ford",R9:A7,"Green Moor",,""
R9,"Region 9 — Storm Ford",R9:A8,"Moon Watch",,""
R9,"Region 9 — Storm Ford",R9:A9,"Blue Moor",,""
R9,"Region 9 — Storm Ford",R9:A10,"Sun Cross",,""
R9,"Region 9 — Storm Ford",R9:A11,"Wind Gate Hold",,""
R9,"Region 9 — Storm Ford",R9:A12,"Silver Gate",,""
R10,"Region 10 — Wind Vale",R10:A1,"Wind Vale",,""
R10,"Region 10 — Wind Vale",R10:A2,"Shadow Watch",,""
R10,"Region 10 — Wind Vale",R10:A3,"Red Heights",,""
R10,"Region 10 — Wind Vale",R10:A4,"Shadow Harbor Rest",,""
R10,"Region 10 — Wind Vale",R10:A5,"Crystal Field",,""
R10,"Region 10 — Wind Vale",R10:A6,"Raven Forge",,""
R10,"Region 10 — Wind Vale",R10:A7,"Blue Cliff Point",,""
R10,"Region 10 — Wind Vale",R10:A8,"Shadow Watch",,""
R10,"Region 10 — Wind Vale",R10:A9,"Red Hold",,""
R10,"Region 10 — Wind Vale",R10:A10,"Moon Heights Village",,""
R10,"Region 10 — Wind Vale",R10:A11,"Raven Vale",,""
R10,"Region 10 — Wind Vale",R10:A12,"Shadow Heath",,""
